UnityTS,GSR,breath,heart
63781302140368,627,22416,2731
63781302140374,640,22200,4436
63781302140377,649,21577,6188
63781302140379,648,20796,8374
63781302140382,660,19760,10287
63781302140389,664,18950,12434
63781302140399,665,18217,14600
63781302140414,643,17154,16537
63781302140418,620,16280,18116
63781302140433,604,15408,19518
63781302140439,596,14260,20796
63781302140449,599,13552,21828
63781302140463,614,12688,22580
63781302140469,618,11928,23324
63781302140484,626,11360,23936
63781302140488,622,10660,24298
63781302140504,615,10051,24419
63781302140508,613,9797,24124
63781302140523,614,9455,23966
63781302140527,614,9048,23917
63781302140543,628,8953,23924
63781302140549,622,8882,24188
63781302140564,625,8668,24696
63781302140571,628,8693,25334
63781302140582,638,8672,26114
63781302140588,636,8590,27146
63781302140603,636,8681,28026
63781302140607,623,8532,28992
63781302140633,621,8605,29588
63781302140636,612,8626,30304
63781302140639,621,8636,30544
63781302140649,617,8714,30691
63781302140677,621,8482,30172
63781302140726,624,8283,30116
63781302140728,630,8244,29684
63781302140731,626,7776,29592
63781302140733,625,7580,29884
63781302140737,622,7199,30596
63781302140737,629,6824,31034
63781302140739,629,6474,31908
63781302140742,631,6116,32584
63781302140753,627,5763,33288
63781302140763,632,5448,33777
63781302140767,634,5104,34620
63781302140781,637,4881,35220
63781302140791,635,4600,35696
63781302140801,633,4379,35848
63781302140811,629,4226,35932
63781302140827,633,4013,35888
63781302140829,629,3802,35156
63781302140839,630,3614,34250
63781302140849,624,3425,32772
63781302140866,625,3259,31520
63781302140868,621,3093,29788
63781302140887,616,2971,27984
63781302140889,614,2822,26540
63781302140906,614,2734,25364
63781302140908,612,2707,24220
63781302140923,617,2697,23100
63781302140929,618,2602,21744
63781302140946,623,2478,20116
63781302140949,629,2322,18404
63781302140964,627,2200,16693
63781302140968,625,2106,15125
63781302140984,625,2106,13868
63781302140988,612,2180,12690
63781302141006,617,2427,11833
63781302141009,611,2608,10976
63781302141036,605,2773,10140
63781302141038,605,3125,9316
63781302141042,605,3624,8043
63781302141052,600,4370,6629
63781302141081,607,5261,5063
63781302141104,610,6384,3453
63781302141107,609,7565,2218
63781302141109,616,8904,1287
63781302141112,614,10558,591
63781302141114,609,12661,111
63781302141122,618,14973,112
63781302141139,611,17408,110
63781302141146,615,20028,112
63781302141152,617,22232,111
63781302141159,620,24256,113
63781302141174,620,25728,111
63781302141180,617,26502,111
63781302141196,622,27270,110
63781302141199,628,28209,694
63781302141213,623,29229,2278
63781302141217,633,29438,4554
63781302141232,631,30060,7119
63781302141242,640,31370,9521
63781302141252,644,31596,11792
63781302141263,648,32636,13865
63781302141275,660,33194,15714
63781302141290,678,34153,17354
63781302141320,681,34420,18592
63781302141323,678,35376,19769
63781302141325,677,36324,20982
63781302141328,680,36929,22052
63781302141332,674,36520,22898
63781302141345,672,37804,23908
63781302141349,660,38136,24844
63781302141364,647,38216,25834
63781302141368,641,37776,26836
63781302141384,629,38044,27968
63781302141388,619,37256,28868
63781302141448,625,36506,29781
63781302141473,599,35776,30676
63781302141475,585,35028,31450
63781302141478,587,34240,32040
63781302141480,590,33643,32824
63781302141483,584,33232,33536
63781302141485,567,32660,34412
63781302141488,563,32412,35196
63781302141492,563,31690,36110
63781302141492,565,31926,37224
63781302141503,569,32368,38096
63781302141513,573,32530,39225
63781302141525,575,32684,40432
63781302141532,565,33184,41672
63781302141544,562,33560,42576
63781302141553,568,33646,43618
63781302141563,567,34442,44792
63781302141573,566,34936,45578
63781302141589,579,35292,46568
63781302141592,563,35572,47214
63781302141627,541,35880,47920
63781302141633,539,36090,48460
63781302141633,541,36264,48916
63781302141635,555,35928,49176
63781302141639,566,36520,49544
63781302141654,580,36016,49772
63781302141665,594,36540,49940
63781302141672,605,36414,49970
63781302141682,611,36244,49840
63781302141692,617,35832,50361
63781302141703,618,35538,50648
63781302141713,618,35172,51036
63781302141723,622,34666,51372
63781302141727,636,34672,51692
63781302141740,646,34412,52084
63781302141750,657,33969,52505
63781302141760,669,34209,52944
63781302141776,673,33818,53456
63781302141787,686,33908,54024
63781302141813,703,33280,54444
63781302141843,702,33534,54888
63781302141843,699,33178,55391
63781302141845,693,32184,55680
63781302141848,704,32600,55984
63781302141850,711,32585,56044
63781302141853,697,32692,56072
63781302141859,688,32730,56052
63781302141874,682,32816,55840
63781302141878,678,32480,55524
63781302141893,671,32868,55138
63781302141904,659,32592,54738
63781302141914,661,32677,54392
63781302141927,652,31884,54192
63781302141960,642,32739,53624
63781302141960,628,32666,53368
63781302141963,620,32354,52916
63781302141965,605,32962,52232
63781302141972,600,32780,51577
63781302141983,597,32448,51000
63781302141990,592,32828,50321
63781302142000,594,32736,49560
63781302142015,598,32420,49218
63781302142019,597,32396,48738
63781302142034,599,32074,48370
63781302142040,586,32005,48208
63781302142052,575,31272,48144
63781302142063,563,31928,48016
63781302142078,560,32114,48264
63781302142084,552,31834,48288
63781302142094,554,32624,48500
63781302142105,544,32848,48584
63781302142115,543,33028,48730
63781302142119,533,33208,48748
63781302142134,533,32988,48340
63781302142140,526,33257,48600
63781302142178,530,33369,48624
63781302142202,531,33988,48458
63781302142204,547,34056,48212
63781302142207,556,33796,48052
63781302142209,555,33888,47944
63781302142212,565,34138,47660
63781302142214,564,34200,47712
63781302142220,566,33686,47208
63781302142235,583,33850,47520
63781302142242,581,34296,47378
63781302142248,588,34344,47384
63781302142267,592,34336,47192
63781302142269,595,34328,46952
63781302142284,598,34334,46776
63781302142290,600,34185,46544
63781302142307,602,34496,46168
63781302142309,597,34588,45926
63781302142324,596,34704,45712
63781302142328,607,34660,45580
63781302142344,604,34824,45500
63781302142350,609,35780,45224
63781302142368,614,35512,45016
63781302142370,610,36523,45098
63781302142387,599,36570,45067
63781302142393,602,37160,44840
63781302142403,602,37140,44852
63781302142413,601,36904,44808
63781302142424,599,37170,44220
63781302142434,580,37213,44516
63781302142438,571,37040,44192
63781302142453,571,36920,43878
63781302142464,574,36494,43580
63781302142474,574,36476,43464
63781302142484,577,36458,42892
63781302142494,571,35996,42632
63781302142498,578,36060,42080
63781302142513,575,35816,41776
63781302142548,579,35499,41532
63781302142573,585,35340,41156
63781302142604,591,35416,41002
63781302142606,597,35088,40800
63781302142609,596,34672,40368
63781302142611,601,34424,40000
63781302142614,602,34492,39603
63781302142616,608,34178,39244
63781302142619,604,34428,38836
63781302142621,608,34489,38226
63781302142624,609,34118,38056
63781302142651,615,34264,37527
63781302142652,615,33741,37272
63781302142654,613,34200,36892
63781302142660,618,34356,36608
63781302142675,617,34253,36138
63781302142679,617,34380,35964
63781302142689,619,34552,35944
63781302142705,617,34394,35784
63781302142710,619,34997,35816
63781302142725,621,34672,35953
63781302142731,626,34987,36220
63781302142748,626,35366,36488
63781302142751,622,35674,36884
63781302142773,626,35450,37118
63781302142773,627,35972,37392
63781302142784,626,36133,37604
63781302142794,627,36268,37772
63781302142806,630,36192,37736
63781302142813,633,36500,37674
63781302142819,634,36288,37640
63781302142834,635,36896,37520
63781302142840,638,36912,37280
63781302142855,637,36722,36986
63781302142859,640,37044,36706
63781302142874,636,37212,36664
63781302142884,649,37448,36556
63781302142888,653,37584,36408
63781302142916,669,37584,36352
63781302142944,680,37384,36320
63781302142946,673,37688,36104
63781302142950,660,37836,36152
63781302142952,665,37852,36040
63781302142955,658,38120,35848
63781302142962,663,38208,35844
63781302142972,670,38144,35708
63781302142984,670,38264,35568
63781302142991,678,38828,35688
63781302143007,707,38916,35716
63781302143010,700,39156,35740
63781302143026,685,39420,35861
63781302143036,674,39672,35940
63781302143040,663,40052,36160
63781302143055,654,40104,36224
63781302143066,650,40540,36508
63781302143076,646,40964,36512
63781302143082,635,41024,36582
63781302143092,626,41328,36730
63781302143104,619,41876,36750
63781302143116,609,41840,36664
63781302143126,615,42392,36368
63781302143132,608,42570,36144
63781302143149,604,42980,35969
63781302143155,597,43352,35798
63781302143161,596,43544,35616
63781302143176,597,44000,35648
63781302143180,603,43686,35640
63781302143195,601,44209,35512
63781302143205,602,44748,35336
63781302143211,606,45132,35144
63781302143242,602,45372,34888
63781302143245,599,45596,34620
63781302143247,593,45644,34216
63781302143251,601,45760,33928
63781302143280,607,45906,33596
63781302143324,594,45896,33412
63781302143324,588,45892,33221
63781302143326,592,45824,33148
63781302143329,596,45664,32962
63781302143331,598,45680,32848
63781302143333,601,45586,32741
63781302143336,606,45552,32724
63781302143340,609,45544,32520
63781302143355,606,45430,32464
63781302143365,611,45420,32506
63781302143375,601,45136,32510
63781302143386,588,44984,32628
63781302143396,577,45164,32888
63781302143400,564,45120,33180
63781302143415,572,44938,33497
63781302143425,581,44962,33784
63781302143431,586,44928,33913
63781302143446,594,44930,34049
63781302143452,597,44936,34109
63781302143463,607,44676,34052
63781302143471,614,44784,33878
63781302143481,616,44848,33688
63781302143496,627,44528,33504
63781302143500,630,44738,33386
63781302143529,629,44628,33143
63781302143531,633,44320,32892
63781302143545,632,44584,32722
63781302143545,630,44480,32604
63781302143555,632,44312,32488
63781302143565,634,44320,32402
63781302143575,634,44152,32424
63781302143591,632,43920,32346
63781302143593,635,44032,32310
63781302143601,637,43624,32228
63781302143616,635,43746,32184
63781302143622,633,43392,32197
63781302143658,640,43160,32218
63781302143676,639,43225,32144
63781302143678,640,42858,32232
63781302143681,637,42580,32353
63781302143683,639,42212,32465
63781302143688,637,42221,32672
63781302143692,636,41666,32844
63781302143705,632,41644,32977
63781302143715,630,41476,33154
63781302143732,632,41284,33184
63781302143732,640,41156,33243
63781302143741,638,41002,33249
63781302143756,644,40912,33291
63781302143760,651,40709,33362
63781302143775,651,40578,33388
63781302143778,643,40564,33408
63781302143793,642,40292,33409
63781302143803,646,40324,33410
63781302143813,636,40156,33384
63781302143831,634,39876,33348
63781302143838,636,39730,33272
63781302143845,627,40000,33169
63781302143851,626,39466,33041
63781302143878,630,40069,32862
63781302143881,622,39940,32626
63781302143883,620,39673,32368
63781302143893,619,40136,32056
63781302143905,617,40092,31777
63781302143925,613,39524,31360
63781302143925,614,40096,31102
63781302143931,610,39872,30782
63781302143947,604,39932,30524
63781302143951,601,39892,30180
63781302143966,600,40080,29880
63781302143970,599,39312,29648
63781302143998,600,39860,29492
63781302139705,632,52720,33862
63781302139711,630,52570,33896
63781302139722,637,52456,33874
63781302139732,634,52288,33880
63781302139743,633,52085,33892
63781302139750,635,51680,34052
63781302139760,639,51528,34132
63781302139775,629,51180,34242
63781302139778,625,50320,34328
63781302139793,624,50386,34288
63781302139801,623,49904,34152
63781302139811,619,49844,33768
63781302139826,621,49136,33370
63781302139828,621,49680,32978
63781302139843,623,49651,32472
63781302139850,612,49792,31856
63781302139866,614,49744,30968
63781302139870,608,49648,29688
63781302139885,615,50388,28136
63781302139888,611,50696,25910
63781302139905,614,50745,23782
63781302139908,614,50684,21314
63781302139923,615,50696,19238
63781302139932,619,50364,17262
63781302139938,613,50316,15455
63781302139978,611,50000,14413
63781302139995,609,49758,13640
63781302139997,606,49559,13506
63781302140000,602,49040,13698
63781302140002,595,48654,14055
63781302140004,598,48144,14528
63781302140040,597,47336,15000
63781302140042,598,47392,15508
63781302140044,603,47104,16072
63781302140047,611,46664,16780
63781302140057,609,46232,17572
63781302140061,619,45760,18183
63781302140085,630,45018,18966
63781302140085,632,44682,19460
63781302140088,642,44208,19865
63781302140104,641,43306,20048
63781302140108,642,42898,20114
63781302140123,642,42048,20136
63781302140127,637,40307,19962
63781302140146,643,40132,19454
63781302140149,634,38874,18869
63781302140164,631,37860,17912
63781302140168,631,36829,16602
63781302140185,626,35509,15297
63781302140188,619,34730,14024
63781302140203,613,33948,12542
63781302140207,611,33196,10792
63781302140223,616,32188,8886
63781302140229,602,31286,6986
63781302140244,601,29840,5182
63781302140251,600,29396,3685
63781302140262,603,28348,2731
63781302140268,601,27537,1864
63781302140283,603,26641,1267
63781302140289,602,25447,878
63781302140306,608,25008,433
63781302140309,608,23914,389
63781302140338,617,23708,843
63781302140368,614,22684,1543
63781302140368,627,22416,2731
63781302140374,640,22200,4436
63781302140377,649,21577,6188
63781302140379,648,20796,8374
63781302140382,660,19760,10287
63781302140389,664,18950,12434
63781302140399,665,18217,14600
63781302140414,643,17154,16537
63781302140418,620,16280,18116
63781302140433,604,15408,19518
63781302140439,596,14260,20796
63781302140449,599,13552,21828
63781302140463,614,12688,22580
63781302140469,618,11928,23324
63781302140484,626,11360,23936
63781302140488,622,10660,24298
63781302140504,615,10051,24419
63781302140508,613,9797,24124
63781302140523,614,9455,23966
63781302140527,614,9048,23917
63781302140543,628,8953,23924
63781302140549,622,8882,24188
63781302140564,625,8668,24696
63781302140571,628,8693,25334
63781302140582,638,8672,26114
63781302140588,636,8590,27146
63781302140603,636,8681,28026
63781302140607,623,8532,28992
63781302140633,621,8605,29588
63781302140636,612,8626,30304
63781302140639,621,8636,30544
63781302140649,617,8714,30691
63781302140677,621,8482,30172
63781302140726,624,8283,30116
63781302140728,630,8244,29684
63781302140731,626,7776,29592
63781302140733,625,7580,29884
63781302140737,622,7199,30596
63781302140737,629,6824,31034
63781302140739,629,6474,31908
63781302140742,631,6116,32584
63781302140753,627,5763,33288
63781302140763,632,5448,33777
63781302140767,634,5104,34620
63781302140781,637,4881,35220
63781302140791,635,4600,35696
63781302140801,633,4379,35848
63781302140811,629,4226,35932
63781302140827,633,4013,35888
63781302140829,629,3802,35156
63781302140839,630,3614,34250
63781302140849,624,3425,32772
63781302140866,625,3259,31520
63781302140868,621,3093,29788
63781302140887,616,2971,27984
63781302140889,614,2822,26540
63781302140906,614,2734,25364
63781302140908,612,2707,24220
63781302140923,617,2697,23100
63781302140929,618,2602,21744
63781302140946,623,2478,20116
63781302140949,629,2322,18404
63781302140964,627,2200,16693
63781302140968,625,2106,15125
63781302140984,625,2106,13868
63781302140988,612,2180,12690
63781302141006,617,2427,11833
63781302141009,611,2608,10976
63781302141036,605,2773,10140
63781302141038,605,3125,9316
63781302141042,605,3624,8043
63781302141052,600,4370,6629
63781302141081,607,5261,5063
63781302141104,610,6384,3453
63781302141107,609,7565,2218
63781302141109,616,8904,1287
63781302141112,614,10558,591
63781302141114,609,12661,111
63781302141122,618,14973,112
63781302141139,611,17408,110
63781302141146,615,20028,112
63781302141152,617,22232,111
63781302141159,620,24256,113
63781302141174,620,25728,111
63781302141180,617,26502,111
63781302141196,622,27270,110
63781302141199,628,28209,694
63781302141213,623,29229,2278
63781302141217,633,29438,4554
63781302141232,631,30060,7119
63781302141242,640,31370,9521
63781302141252,644,31596,11792
63781302141263,648,32636,13865
63781302141275,660,33194,15714
63781302141290,678,34153,17354
63781302141320,681,34420,18592
63781302141323,678,35376,19769
63781302141325,677,36324,20982
63781302141328,680,36929,22052
63781302141332,674,36520,22898
63781302141345,672,37804,23908
63781302141349,660,38136,24844
63781302141364,647,38216,25834
63781302141368,641,37776,26836
63781302141384,629,38044,27968
63781302141388,619,37256,28868
63781302141448,625,36506,29781
63781302141473,599,35776,30676
63781302141475,585,35028,31450
63781302141478,587,34240,32040
63781302141480,590,33643,32824
63781302141483,584,33232,33536
63781302141485,567,32660,34412
63781302141488,563,32412,35196
63781302141492,563,31690,36110
63781302141492,565,31926,37224
63781302141503,569,32368,38096
63781302141513,573,32530,39225
63781302141525,575,32684,40432
63781302141532,565,33184,41672
63781302141544,562,33560,42576
63781302141553,568,33646,43618
63781302141563,567,34442,44792
63781302141573,566,34936,45578
63781302141589,579,35292,46568
63781302141592,563,35572,47214
63781302141627,541,35880,47920
63781302141633,539,36090,48460
63781302141633,541,36264,48916
63781302141635,555,35928,49176
63781302141639,566,36520,49544
63781302141654,580,36016,49772
63781302141665,594,36540,49940
63781302141672,605,36414,49970
63781302141682,611,36244,49840
63781302141692,617,35832,50361
63781302141703,618,35538,50648
63781302141713,618,35172,51036
63781302141723,622,34666,51372
63781302141727,636,34672,51692
63781302141740,646,34412,52084
63781302141750,657,33969,52505
63781302141760,669,34209,52944
63781302141776,673,33818,53456
63781302141787,686,33908,54024
63781302141813,703,33280,54444
63781302141843,702,33534,54888
63781302141843,699,33178,55391
63781302141845,693,32184,55680
63781302141848,704,32600,55984
63781302141850,711,32585,56044
63781302141853,697,32692,56072
63781302141859,688,32730,56052
63781302141874,682,32816,55840
63781302141878,678,32480,55524
63781302141893,671,32868,55138
63781302141904,659,32592,54738
63781302141914,661,32677,54392
63781302141927,652,31884,54192
63781302141960,642,32739,53624
63781302141960,628,32666,53368
63781302141963,620,32354,52916
63781302141965,605,32962,52232
63781302141972,600,32780,51577
63781302141983,597,32448,51000
63781302141990,592,32828,50321
63781302142000,594,32736,49560
63781302142015,598,32420,49218
63781302142019,597,32396,48738
63781302142034,599,32074,48370
63781302142040,586,32005,48208
63781302142052,575,31272,48144
63781302142063,563,31928,48016
63781302142078,560,32114,48264
63781302142084,552,31834,48288
63781302142094,554,32624,48500
63781302142105,544,32848,48584
63781302142115,543,33028,48730
63781302142119,533,33208,48748
63781302142134,533,32988,48340
63781302142140,526,33257,48600
63781302142178,530,33369,48624
63781302142202,531,33988,48458
63781302142204,547,34056,48212
63781302142207,556,33796,48052
63781302142209,555,33888,47944
63781302142212,565,34138,47660
63781302142214,564,34200,47712
63781302142220,566,33686,47208
63781302142235,583,33850,47520
63781302142242,581,34296,47378
63781302142248,588,34344,47384
63781302142267,592,34336,47192
63781302142269,595,34328,46952
63781302142284,598,34334,46776
63781302142290,600,34185,46544
63781302142307,602,34496,46168
63781302142309,597,34588,45926
63781302142324,596,34704,45712
63781302142328,607,34660,45580
63781302142344,604,34824,45500
63781302142350,609,35780,45224
63781302142368,614,35512,45016
63781302142370,610,36523,45098
63781302142387,599,36570,45067
63781302142393,602,37160,44840
63781302142403,602,37140,44852
63781302142413,601,36904,44808
63781302142424,599,37170,44220
63781302142434,580,37213,44516
63781302142438,571,37040,44192
63781302142453,571,36920,43878
63781302142464,574,36494,43580
63781302142474,574,36476,43464
63781302142484,577,36458,42892
63781302142494,571,35996,42632
63781302142498,578,36060,42080
63781302142513,575,35816,41776
63781302142548,579,35499,41532
63781302142573,585,35340,41156
63781302142604,591,35416,41002
63781302142606,597,35088,40800
63781302142609,596,34672,40368
63781302142611,601,34424,40000
63781302142614,602,34492,39603
63781302142616,608,34178,39244
63781302142619,604,34428,38836
63781302142621,608,34489,38226
63781302142624,609,34118,38056
63781302142651,615,34264,37527
63781302142652,615,33741,37272
63781302142654,613,34200,36892
63781302142660,618,34356,36608
63781302142675,617,34253,36138
63781302142679,617,34380,35964
63781302142689,619,34552,35944
63781302142705,617,34394,35784
63781302142710,619,34997,35816
63781302142725,621,34672,35953
63781302142731,626,34987,36220
63781302142748,626,35366,36488
63781302142751,622,35674,36884
63781302142773,626,35450,37118
63781302142773,627,35972,37392
63781302142784,626,36133,37604
63781302142794,627,36268,37772
63781302142806,630,36192,37736
63781302142813,633,36500,37674
63781302142819,634,36288,37640
63781302142834,635,36896,37520
63781302142840,638,36912,37280
63781302142855,637,36722,36986
63781302142859,640,37044,36706
63781302142874,636,37212,36664
63781302142884,649,37448,36556
63781302142888,653,37584,36408
63781302142916,669,37584,36352
63781302142944,680,37384,36320
63781302142946,673,37688,36104
63781302142950,660,37836,36152
63781302142952,665,37852,36040
63781302142955,658,38120,35848
63781302142962,663,38208,35844
63781302142972,670,38144,35708
63781302142984,670,38264,35568
63781302142991,678,38828,35688
